%Elements  DoFs     Threads  Wallclock(s)
400       3803     1        75.64
400       3803     2        41.08
400       3803     4        23.09
400       3803     8        13.83
400       3803     15       9.91
400       3803     30       8.44
400       3803     60       7.87
1600      14803    1        284.31
1600      14803    2        143.60
1600      14803    4        82.10
1600      14803    8        48.58
1600      14803    15       35.01
1600      14803    30       25.99
1600      14803    60       23.40
6400      58403    1        1094.8
6400      58403    2        532.09
6400      58403    4        293.99
6400      58403    8        174.10
6400      58403    15       124.46
6400      58403    30       93.88
6400      58403    60       82.54
25600     232003   1        4349
25600     232003   2        2084.01
25600     232003   4        1126.2
25600     232003   8        658.12
25600     232003   15       462.99
25600     232003   30       347.00
25600     232003   60       318.89
102400    924803   1        18722
102400    924803   2        8097
102400    924803   4        4476
102400    924803   8        2567.4
102400    924803   15       1761.67
