%Elements  DoFs     Threads  Wallclock(s)
1000      29114    1        3894
1000      29114    2        2060.27
1000      29114    4        1069.45
1000      29114    8        629.73
1000      29114    15       549.84
1000      29114    30       532.77
1000      29114    60       980.21
8000      216024   1        28929
8000      216024   2        14491
8000      216024   4        7484
8000      216024   8        4514
8000      216024   15       4117
8000      216024   30       4023
8000      216024   60       8824
